pmid,pmcid
40397996,
40398613,
40401763,
40402494,12100446
40406079,12095234
40406152,12095086
40406410,12095163
40409187,
40413965,12178112
40415419,
40418717,
40420426,
40435106,12118920
40439116,12122002
40440488,
40441405,
40441481,
40442611,12123841
40443568,12121448
40449287,
40455102,
40455496,
40455735,12129234
40461104,12133260
40463549,12132121
40466339,
40480966,
40491188,12152009
40491879,11891851
40495525,
40498478,
40498869,12157778
40501102,
40502617,12155011
40504508,12205851
40506013,
40512511,12166484
40519632,12163371
40524720,12169042
40526573,
40532747,
40537088,12226777
40540004,
40540313,12200219
40540787,
40541494,
40543828,
40548290,12179864
40548404,7617822
40549490,
40549495,
40555701,
40562508,
40569592,12203278
40569596,12203276
40569933,12200650
40577006,12205403
40577354,
40578797,
40581187,
40581230,
40583827,
40589911,12208605
40590271,12210339
40599969,
40604652,12217192
40604906,12218965
40606797,12213302
40610254,
40610285,
40611139,12225069
40612555,12222128
40613015,12221723
40618656,
40622248,12236440
40623259,
40623817,
40626143,12231959
40629159,
40629632,
