pmid,pmcid_count
40201330,1
40202749,1
40204884,1
40205451,1
40207202,1
40210205,1
40217624,1
40226230,1
40227745,1
40241145,1
40242166,1
40275030,1
40279125,1
40275805,1
40287986,1
40290132,1
40330594,1
40296928,1
40299223,1
40307423,1
40312716,1
40319789,1
40320496,1
40328372,1
40347317,1
40330996,1
40341059,1
40344682,1
40357112,1
40355842,1
40361980,1
40370791,1
40463549,1
40371673,1
40376191,1
40378100,1
40390258,1
40402494,1
40406079,1
40406152,1
40406410,1
40413965,1
40435106,1
40439116,1
40442611,1
40443568,1
40455735,1
40461104,1
40524720,1
40491188,1
40491879,1
40498869,1
40502617,1
40504508,1
40512511,1
40519632,1
40548404,1
40537088,1
40540313,1
40548290,1
40569596,1
40569592,1
40569933,1
40577006,1
40613015,1
40589911,1
40590271,1
40604652,1
40604906,1
40606797,1
40611139,1
40612555,1
40626143,1
40236760,2
